all,sb,arm,drive
10.2,5.01,40.49,
13.14,2.4,61.29,
39.67,2.6,31.37,
45.82,13.91,39.61,
13.64,9,30.83,
19.15,22.39,31.92,
29.31,13.24,39.73,
3.66,16.19,38.24,
16.8,5.38,10.83,
49.76,20.55,10.29,
37.24,30.31,74.78,
13.9,15.11,39,
23.75,12.59,74.34,
11.32,7.86,41.21,
68.6,4.69,9.3,
33.12,7.74,112.06,
8,12.81,41.45,
27.97,20.99,29.03,
21.7,38.74,53.55,
11.02,31.76,89.34,
10.4,9.95,8.63,
58.01,7.9,13.42,
2.74,29.51,43.28,
11.31,22.51,41.29,
21.44,64.79,5.84,
50.77,25.05,49.46,
28.37,20.42,4.5,
10.92,16.76,50.37,
21.25,15.63,14.41,
24.29,17.15,5.12,
45.15,23.91,46.41,
20.41,20.26,21.33,
0.76,19.12,73.61,
10.75,3.29,29.23,
11.65,28.15,48.87,
17.79,6.35,24.66,
37.7,3.78,25.09,
9.8,20.68,15.06,
23.74,3.81,16.21,
6.03,3.77,4.47,
22.73,3.35,27.12,
59.72,5.87,97.2,
33.35,3.63,60.01,
38.24,3.79,21.68,
25.06,21.32,4.51,
13.85,24.86,98.65,
14.76,4.75,34.95,
10.19,26.1,30.5,
26.6,34.55,9.75,
3.63,24.68,20.45,
1.94,36.87,11.7,
24.01,18.34,17.53,
47.33,8.51,18.56,
14.18,17.24,28.84,
33.17,27.59,22.32,
14.62,23.66,38.15,
21.13,15.3,26.7,
22.32,24.22,47.47,
3.66,1.61,7.59,
15.16,15.57,123.8,
4.17,18.47,109.23,
22.09,27.37,26.19,
1.89,16.31,17.73,
20.29,17.71,37.59,
25.22,14.33,22.44,
41.86,16,35.39,
6.83,28.11,67.17,
17.9,29.16,8.68,
48.91,5.51,26.61,
8.88,6.87,35.03,
4.16,10.8,6.85,
10.23,3.16,31.59,
59.02,3.37,29.55,
9.05,2.1,26.16,
19,4.52,18.05,
12.37,14.06,24.01,
17.96,20.03,49.81,
28.63,24.32,,
6.99,23.37,,
5.3,0.52,,
23.01,14.63,,
43.89,25.65,,
16.16,6.95,,
2.22,2.96,,
19.23,4.07,,
44.53,5.69,,
3.42,26.65,,
2.14,11.76,,
18.74,21.06,,
40.96,18.33,,
7.53,2.09,,
9.98,31.1,,
19.46,39.22,,
18.85,27.56,,
19.31,22.71,,
30.8,3.59,,
27.46,7.64,,
4.59,37.98,,
10.46,7.66,,
20.16,13.88,,
21.24,8.59,,
16.84,8.48,,
23.05,14.43,,
44.26,20.81,,
44.09,9.23,,
1.27,18.92,,
21.28,25.11,,
35.45,22.18,,
4.7,23.56,,
5.51,2.53,,
32.24,4.82,,
25.59,29.36,,
26.11,11.45,,
3.05,17.44,,
12.53,13.38,,
43.89,9.28,,
9.09,18.39,,
13.32,27.64,,
13.04,8.44,,
33.41,26.36,,
22.83,24.59,,
10.19,32.58,,
7.22,35.23,,
31.03,17.72,,
5.33,8.28,,
28.94,18.01,,
54.72,20.8,,
12.23,20.19,,
20.44,12.22,,
10.71,27.74,,
27.61,9.47,,
16.19,23.62,,
29.82,25.45,,
14.38,10.33,,
35.34,18.62,,
29.29,31.67,,
11.46,7.61,,
46.47,29.43,,
26.86,17.7,,
14.29,15.4,,
33.13,22.18,,
13.83,35.23,,
23.66,29.44,,
75.01,6.19,,
6.8,27.17,,
36.48,7.73,,
14.5,4.01,,
6.79,12.57,,
70.32,18.41,,
8.65,7.93,,
121.33,17.35,,
15.12,17.5,,
1.95,16.39,,
18.46,5.86,,
30.39,15.95,,
20.46,23.82,,
4.57,24.43,,
4.38,11.7,,
26.57,3.89,,
10.84,18.45,,
6.87,23.09,,
32.01,16.41,,
11.76,15.67,,
14.77,17.7,,
40.62,14.06,,
2.99,12.61,,
9.03,18.75,,
34.04,8.28,,
31.29,17.45,,
3.03,5.57,,
27.19,13.54,,
15.05,22.28,,
34.78,10.48,,
6.88,19.28,,
18.99,10.05,,
36.43,9.02,,
3.95,6.68,,
36.91,12.26,,
28.93,0.14,,
60.51,15,,
14.81,6.74,,
27.3,3.1,,
59.13,25.29,,
19.48,15.71,,
17.62,32.18,,
101.28,24.7,,
20.47,8.57,,
40.1,22.32,,
19.24,19.75,,
20.43,3.94,,
7.68,11.4,,
21.32,19.56,,
26.48,15.38,,
112.51,5.74,,
11.62,9.78,,
34,3.06,,
18.28,20.81,,
14.11,14.21,,
12.02,37.88,,
10.92,10.37,,
42.94,10.45,,
6.96,22.81,,
16.9,5.51,,
13.12,7.77,,
32,22.37,,
10.79,15.26,,
28.25,17.75,,
5.77,22.99,,
6.61,21.61,,
20.48,15.99,,
27.52,7.59,,
30.19,10.46,,
160.55,9.98,,
17,22.69,,
23.3,8.35,,
32.96,2.67,,
19.94,7.9,,
17.67,16.93,,
3.03,5.76,,
18.16,7.01,,
26.16,14.45,,
23.24,24.18,,
9.18,11.04,,
2.46,7.05,,
2.91,17.44,,
12.58,12.91,,
31.77,41.11,,
11.72,91.49,,
21.63,15.78,,
20.52,8.88,,
30.17,10.81,,
3.97,12.25,,
13.12,9.01,,
34.45,14.57,,
3.66,41.53,,
18.6,15.95,,
25.42,2.22,,
7.7,24.68,,
25.75,0.8,,
15.76,14.68,,
7.66,11.8,,
13.44,18.74,,
11.66,35.87,,
16.77,20,,
72.84,8.31,,
122.53,11.05,,
20.5,10.51,,
11.69,26.93,,
5.67,10.18,,
4.19,20.02,,
8.35,13.02,,
26.02,40.5,,
15.81,8.08,,
16.09,7.57,,
2.48,6.91,,
2.9,8.5,,
52.2,26.17,,
19.22,20.33,,
0.01,35.27,,
22.03,3.47,,
30.08,32.76,,
14.51,32.12,,
32.68,10.18,,
5.01,6.94,,
2.25,16.95,,
8.73,15.11,,
18.6,28.74,,
39.29,38.8,,
21.53,22.71,,
33.94,13.67,,
18.66,9.16,,
100.01,11.58,,
26.72,9.54,,
23.68,15.55,,
56.39,16.35,,
18.3,26.28,,
31.52,6.18,,
5.53,58.76,,
22.42,15.11,,
26.98,12.94,,
9.33,16.1,,
20.56,9.44,,
8.68,25.92,,
1.12,8.96,,
24.73,4.13,,
30.08,3.06,,
2.55,17.06,,
30.9,12.08,,
14.97,14.11,,
33.3,6.19,,
8.81,24.01,,
20.28,12.25,,
3.03,17.93,,
17.31,5.79,,
26.59,30.4,,
44.28,5.1,,
14.31,17.2,,
18.5,16.11,,
23.92,10.72,,
52.82,9.2,,
21.92,6.07,,
50.18,9.27,,
49.54,23.89,,
8.9,25.66,,
17.14,13.98,,
44.99,16.45,,
9.05,22.31,,
25.96,9.51,,
35.83,105.49,,
30.34,22.68,,
26.03,3.81,,
37.67,49.78,,
30.25,7.38,,
27.86,8.01,,
11.16,11.83,,
2.47,19.46,,
2.9,8.87,,
35.5,35.82,,
9.83,22.84,,
6.6,14.47,,
38.44,21.04,,
13.88,17.17,,
9.94,15.69,,
20.67,7.51,,
38.49,11.92,,
55.21,27.7,,
13.97,13.1,,
26.74,20.69,,
21.08,5.23,,
22.31,11.67,,
13.87,18.16,,
24.07,8.5,,
9.62,26.93,,
33.34,23.46,,
18.72,8.75,,
20.61,57.94,,
7.49,5.41,,
12.53,14.68,,
32.63,11.09,,
9.04,16.56,,
21.44,24.09,,
42.59,9.78,,
16.15,21.8,,
51.7,21.25,,
2.73,29.88,,
20.74,6.33,,
40.84,11.19,,
2.68,19.74,,
18.39,21.18,,
9.27,31.27,,
14.93,3.35,,
17.91,16.2,,
29.8,16.86,,
28.89,8.93,,
4.36,24.72,,
4.25,2.41,,
3.96,36.59,,
3.99,4.94,,
4.26,47.68,,
4.34,31.52,,
