all,sb,arm,drive
-1.345,-7.442,-2.421,
-0.775,-7.907,-3.269,
-2.416,-29.109,0.511,
-0.811,-76.492,-96.381,
-0.77,-0.782,-20.46,
-6.173,-3.383,-8.841,
-0.352,-2.81,-5.809,
-0.868,-2.246,-1.488,
-0.628,-3.514,-19.103,
-0.787,-4.566,-5.96,
-6.315,-31.531,-0.538,
-23.097,-0.955,-4.035,
-6.48,-1.217,-5.612,
-9.862,-9.682,-1.095,
-0.072,0.195,-2.122,
-1.747,-4.176,-0.343,
-17.754,-2.604,28.381,
-6.096,-8.739,-9.683,
-14.623,-10.87,-4.31,
-14.554,-4.495,-0.977,
-4.515,-3.312,-11.544,
-26.93,-1.051,-1.149,
-9.675,-0.511,-0.865,
-17.49,-9.925,-37.78,
-11.875,-7.183,-152.607,
-5.338,-6.022,-21.548,
-3.508,-3.015,3.489,
0.607,-11.68,-5.877,
0.094,-2.576,-27.802,
-48.327,-1.574,-2.595,
-0.116,-1.911,-5.476,
-18.792,-3.502,-0.255,
-3.958,-11.173,-7.046,
-12.104,-5.331,-6.223,
-4.422,-6.767,-3.56,
-17.594,0.615,-3.692,
-13.19,-12.898,-1.51,
-8.661,-12.119,-1.046,
-0.338,-5.177,-3.269,
-0.524,-2.943,-6.801,
-15.069,-6.947,0.894,
-0.461,-4.11,-1.051,
-2.429,-15.74,-1.092,
-5.295,-0.8,-3.341,
-22.894,-7.711,-5.523,
-0.493,-6.167,-3.775,
-3.258,-4.157,-138.247,
-0.568,-1.583,-21.194,
-13.337,-0.543,3.142,
-19.684,-0.546,-3.526,
-9.222,-3.845,-4.991,
0.388,-11.277,-15.341,
-9.117,-1.181,-3.502,
-3.165,-48.756,-2.988,
-3.165,-3.107,-3.938,
-11.173,-3.54,-12.991,
-5.565,-6.364,-3.668,
-30.449,-1.937,-0.205,
-37.311,-10.921,-2.854,
-12.069,-3.963,-3.06,
-22.66,-0.958,-7.242,
-14.372,-1.056,0.012,
-6.31,-4.557,-1.637,
-6.258,-2.081,-6.928,
-2.846,-4.112,-1.586,
-7.712,-1.194,-8.152,
-14.616,-9.01,-0.769,
-21.416,-2.248,-5.989,
-2.33,-5.928,0.494,
-4.995,-0.791,-38.275,
-35.742,-10.395,-0.443,
-5.972,-0.1,-17.994,
-14.107,-5.199,0.228,
-4.158,-6.11,-0.802,
-9.241,-0.718,-5.164,
-9.89,-2.198,-2.459,
-0.509,-0.375,-5.279,
-15.285,0.733,-25.006,
-11.074,-8.895,-8.597,
-1.869,-13.658,-1.535,
-0.795,0.02,-5.455,
-0.16,-3.447,-12.908,
-0.375,-2.309,-3.082,
0.904,-4.509,0.725,
3.015,-85.487,-2.575,
-16.682,-7.68,-2.58,
-11.723,-0.81,-2.572,
-1.521,-35.782,-38.39,
-12.163,-1.382,-2.737,
-23.492,-2.007,-89.581,
-1.557,-6.834,-13.832,
-40.221,-11.46,-0.277,
-8.033,-2.872,-26.304,
-11.317,-15.821,-8.952,
-3.367,-5.759,-5.168,
-0.931,-4.467,-4.921,
-6.396,-3.039,-1.289,
-1.883,-2.167,-4.457,
-0.015,-5.69,-12.359,
-4.631,-2.506,-90.91,
-5.646,-1.917,-8.629,
-1.952,-7.7,-20.409,
-0.723,-3.095,-3.609,
-2.075,-0.694,-2.842,
-0.962,-0.233,-7.603,
-11.415,-3.169,,
-1.065,-3.158,,
-3.69,-1.501,,
-6.286,-11.43,,
-11.651,-8.462,,
-3.756,-3.246,,
-6.063,-42.935,,
-11.606,-0.413,,
-0.85,-4.677,,
-21.53,-4.088,,
-9.331,-6.562,,
-0.089,-9.09,,
-11.104,-3.784,,
-76.482,-6.802,,
-15.485,-4.254,,
-7.561,-9.878,,
-21.603,0.671,,
-3.745,-1.189,,
-10.208,-9.738,,
-0.593,-8.178,,
-2.642,-16.265,,
-12.982,-1.347,,
0.391,-2.196,,
-16.797,-6.357,,
-36.834,-4.926,,
-2.665,-7.719,,
-3.881,-0.408,,
1.413,-30.585,,
-20.79,-2.937,,
-3.481,-25.016,,
-4.427,-11.515,,
-11.345,7.596,,
-9.812,-2.619,,
-4.226,0.816,,
-48.173,-3.728,,
-8.919,-3.597,,
-8.112,-5.354,,
-18.727,11.558,,
-1.119,-7.643,,
-12.18,-1.979,,
-8.559,-7.951,,
-0.531,-1.61,,
-1.256,-0.557,,
-2.318,-2.656,,
-19.355,-6.358,,
0.032,-0.519,,
-32.569,-12.63,,
-8.449,-0.984,,
-7.436,-0.894,,
-3.314,-0.857,,
-5.264,-4.0,,
-28.387,-19.815,,
0.719,-1.319,,
-6.386,-5.08,,
-11.627,-1.361,,
-14.64,0.647,,
-0.454,-3.401,,
-3.323,-32.715,,
-13.123,-6.853,,
-13.363,-7.021,,
-11.595,-9.355,,
-23.395,-6.066,,
-20.579,-1.72,,
-15.233,2.18,,
-15.705,-7.478,,
-7.723,-2.694,,
-9.312,-4.086,,
-2.276,-0.839,,
-21.812,-2.167,,
-8.015,-6.406,,
-5.201,-3.719,,
-40.113,-9.473,,
-12.188,-1.617,,
1.953,-3.118,,
-5.221,-2.436,,
-20.511,-2.007,,
-12.739,-1.857,,
-2.193,-3.71,,
-4.826,-9.382,,
-4.335,-5.769,,
-10.126,-2.512,,
-10.619,-18.996,,
-6.447,1.169,,
-0.248,-3.186,,
-11.8,-1.696,,
-6.724,-2.653,,
-2.831,-6.941,,
-0.301,-0.981,,
-3.623,-2.185,,
-9.239,-9.533,,
0.525,-6.04,,
-11.669,-3.382,,
-59.595,-5.623,,
-4.737,-1.703,,
-8.867,-4.593,,
-2.589,0.249,,
-5.155,-3.92,,
-11.733,-4.333,,
-6.479,-3.016,,
-2.429,-10.111,,
-4.127,-3.863,,
-11.931,-7.223,,
-3.368,-2.238,,
-0.946,-1.072,,
-6.705,-2.022,,
-4.402,-9.171,,
-12.413,-1.408,,
-0.657,-3.439,,
-1.146,-5.147,,
-13.179,-1.282,,
-5.215,0.8,,
-9.436,-3.024,,
-2.925,-0.712,,
-7.558,-3.423,,
-1.136,-4.427,,
-2.19,-19.806,,
-23.404,-49.243,,
-1.343,-42.319,,
-7.166,-1.35,,
-2.733,-1.964,,
-3.562,-2.732,,
-2.009,-3.864,,
-2.569,-4.631,,
12.455,-22.29,,
-6.406,-0.465,,
-0.709,-5.191,,
-2.927,-10.886,,
-19.581,-11.945,,
-2.348,-2.96,,
-5.495,-2.268,,
-11.224,-7.89,,
-6.388,-4.244,,
-26.563,1.536,,
-2.865,-2.636,,
-5.949,-11.083,,
-8.815,-3.083,,
-33.873,-13.425,,
-11.933,-3.89,,
-1.696,2.568,,
-1.388,-3.604,,
-6.454,-10.156,,
-22.131,-3.364,,
-2.376,-3.298,,
-12.089,-3.117,,
-2.242,-3.265,,
-4.673,-3.4,,
-18.983,-1.581,,
0.396,-0.921,,
-7.7,-5.192,,
-12.036,-7.27,,
-4.061,-10.113,,
-2.606,-4.334,,
-11.135,-8.663,,
-0.942,-12.113,,
-3.754,-10.61,,
-3.276,-0.386,,
-10.24,-8.386,,
-29.362,-6.608,,
-2.454,-9.235,,
-6.344,-7.733,,
-0.574,-2.179,,
3.012,-3.163,,
-3.544,-2.912,,
-11.335,-12.373,,
-6.643,-17.8,,
-5.661,-1.63,,
-21.575,-14.084,,
-10.796,-3.398,,
-0.625,-5.459,,
-4.975,-33.791,,
-0.939,-5.858,,
-11.205,-0.848,,
-6.778,-0.104,,
-15.104,-2.683,,
-22.051,-0.109,,
-5.858,-0.11,,
-4.548,-0.096,,
-17.072,-0.092,,
-1.012,-0.052,,
-1.017,-0.117,,
-1.519,-0.11,,
-19.409,-7.516,,
-2.684,-1.722,,
-2.258,-8.773,,
-17.741,0.171,,
0.864,-1.003,,
-2.632,-10.187,,
-3.997,-6.289,,
1.727,-9.393,,
-4.256,-3.346,,
-4.607,-8.174,,
-1.741,-6.524,,
-11.487,-4.923,,
-0.404,-8.124,,
0.896,-2.697,,
